date,reservoir,area_km2,pct_full,VV_mean_dB,max_surface_area_km2
2020-07-04,GERD,8.453539819699516,0.4508554570506409,-9.057862787640117,1875
2020-07-16,GERD,9.777203791559197,0.5214508688831572,-9.498016562515945,1875
2020-07-28,GERD,10.319092207909527,0.5503515844218414,-9.704357681291995,1875
2020-08-09,GERD,8.89727145596089,0.4745211443179142,-9.501278102305072,1875
2020-08-21,GERD,8.996788824771746,0.47982873732115977,-9.58778434912418,1875
2020-09-02,GERD,9.747087217480585,0.5198446515989645,-9.78362474417909,1875
2020-09-14,GERD,10.893966677917362,0.5810115561555926,-10.053448025583453,1875
2020-09-26,GERD,12.370331057911027,0.6597509897552547,-10.3931305304927,1875
2020-10-08,GERD,12.628772391157831,0.6735345275284177,-10.479238940398323,1875
2020-10-20,GERD,10.284608933397873,0.5485124764478866,-9.890837177783732,1875
2020-11-01,GERD,14.084120725812095,0.751153105376645,-10.870088145091833,1875
2020-11-13,GERD,19.639646011475655,1.0474477872787016,-11.629950916444066,1875
2020-11-25,GERD,22.393719145979635,1.1943316877855805,-11.854030221637384,1875
2020-12-07,GERD,20.787580391475842,1.108670954212045,-11.714444261026106,1875
2020-12-19,GERD,22.068450532260105,1.1769840283872057,-11.88615763309613,1875
2020-12-31,GERD,20.43660294994519,1.08995215733041,-11.76709812871187,1875
2021-01-12,GERD,21.28145482926471,1.135010924227451,-11.808617339503995,1875
2021-01-24,GERD,21.778525803076327,1.1615213761640708,-11.84030584742593,1875
2021-02-05,GERD,22.82667472388192,1.217422651940369,-11.934153754224338,1875
2021-02-17,GERD,15.593730409880571,0.8316656218602971,-10.788439416251602,1875
2021-03-01,GERD,14.017930506454286,0.7476229603442286,-10.529630782975897,1875
2021-03-13,GERD,21.639628115064284,1.1541134994700952,-11.84029684147036,1875
2021-03-25,GERD,22.002795299709007,1.1734824159844803,-11.853983260513642,1875
2021-04-06,GERD,13.590785506981764,0.7248418937056941,-10.549019717434854,1875
2021-04-18,GERD,20.567983596928695,1.0969591251695303,-11.595213047767134,1875
2021-04-30,GERD,9.379618796769236,0.5002463358276926,-8.939663939527001,1875
2021-05-12,GERD,8.480101561128265,0.4522720832601741,-8.94400690182836,1875
2021-05-24,GERD,14.83079645441601,0.7909758109021873,-10.884225442729042,1875
2021-06-05,GERD,14.425913158228767,0.7693820351055343,-10.850008787977986,1875
2021-06-17,GERD,10.283975129792934,0.5484786735889565,-9.734443895848953,1875
2021-06-29,GERD,8.123032874799513,0.4332284199893074,-8.964581983073971,1875
2021-07-11,GERD,10.751658726811517,0.5734217987632808,-9.247739240355433,1875
2021-07-23,GERD,9.194516030926932,0.4903741883161031,-9.363134649040127,1875
2021-08-04,GERD,12.992517282368976,0.6929342550596786,-9.84892473747771,1875
2021-08-16,GERD,8.384919826840896,0.44719572409818115,-9.408552577800451,1875
2021-08-28,GERD,9.498010181240277,0.5065605429994814,-9.663598311376804,1875
2021-09-09,GERD,9.4961877947715,0.50646334905448,-9.767839037788242,1875
2021-09-21,GERD,10.503264879125886,0.560174126886714,-9.9667217835831,1875
2021-10-03,GERD,10.337375789302332,0.5513267087627911,-9.921606018451929,1875
2021-10-15,GERD,11.560832832306778,0.6165777510563615,-10.18191355618917,1875
2021-10-27,GERD,13.264178517759554,0.7074228542805095,-10.61922853035905,1875
2021-11-08,GERD,11.947864061491215,0.6372194166128647,-10.165760747153659,1875
2021-11-20,GERD,18.953796217963518,1.010869131624721,-11.432185344796748,1875
2021-12-02,GERD,22.85059215820504,1.218698248437602,-11.893612441471808,1875
2021-12-14,GERD,23.03736256976136,1.2286593370539394,-11.942513452381634,1875
2021-12-26,GERD,39.722168998286236,2.118515679908599,-12.956788428121213,1875
2022-01-07,GERD,16.121063127509416,0.8597900334671689,-11.212973431055362,1875
2022-01-19,GERD,18.98940330474519,1.0127681762530767,-11.604117991038597,1875
2022-01-31,GERD,21.720444160405034,1.1584236885549353,-11.879058043259587,1875
2022-02-12,GERD,15.621542590407367,0.8331489381550596,-10.966071017395732,1875
2022-02-24,GERD,24.048997259709434,1.282613187184503,-12.067022234458005,1875
2022-03-08,GERD,22.78599220675273,1.215252917693479,-11.9559247461038,1875
2022-03-20,GERD,17.02277077461168,0.9078811079792896,-11.14855450248809,1875
2022-04-01,GERD,27.584765139401934,1.4711874741014364,-12.180742030850402,1875
2022-04-13,GERD,40.83934772986456,2.1780985455927766,-12.291022443989506,1875
2022-04-25,GERD,16.893366605933426,0.9009795523164493,-11.151865166155439,1875
2022-05-07,GERD,23.96308086472384,1.278030979451938,-11.937235876547097,1875
2022-05-19,GERD,20.531336984976313,1.0950046391987367,-11.641291417468612,1875
2022-05-31,GERD,16.461401320965876,0.8779414037848466,-10.168557858922076,1875
2022-06-12,GERD,8.512723926598493,0.4540119427519197,-9.037075884312946,1875
2022-06-24,GERD,9.893274331140944,0.5276412976608503,-9.74023586539645,1875
2022-07-06,GERD,14.772327386871432,0.7878574606331431,-9.850558970658469,1875
2022-07-18,GERD,8.826150869967142,0.4707280463982476,-9.16678586161519,1875
2022-07-30,GERD,11.764887121695068,0.6274606464904037,-9.529753753286098,1875
2022-08-11,GERD,9.77268430791162,0.5212098297552864,-9.375219851919823,1875
2022-08-23,GERD,9.046791763581103,0.48249556072432553,-9.497089722446075,1875
2022-09-04,GERD,9.553965465622397,0.5095448248331945,-9.686755963859518,1875
2022-09-16,GERD,10.381554879572938,0.5536829269105566,-9.964642780026097,1875
2022-09-28,GERD,9.757226260021795,0.5203854005344958,-9.690276551589934,1875
2022-10-10,GERD,9.744227062681997,0.5196921100097065,-9.713800798838777,1875
2022-10-22,GERD,11.392505702082406,0.6076003041110617,-10.226500556006048,1875
2022-11-03,GERD,16.325257305806147,0.8706803896429945,-11.160370282364044,1875
2022-11-15,GERD,15.009577908458514,0.8005108217844541,-10.81802637885318,1875
2022-11-27,GERD,18.967473911575887,1.0115986086173807,-11.399233387843953,1875
2022-12-09,GERD,23.2848650331747,1.241859468435984,-11.965088958201505,1875
2022-12-21,GERD,22.36061123815122,1.1925659327013984,-11.896458107637102,1875
2023-01-02,GERD,13.488525770194801,0.719388041077056,-10.698990708071552,1875
2023-01-14,GERD,14.042496901830997,0.7489331680976532,-10.658289334823543,1875
2023-01-26,GERD,18.616349550599107,0.9928719760319523,-11.60595729091533,1875
2023-02-07,GERD,20.624476006758115,1.0999720536937663,-11.808462270402696,1875
